champion_id,champion_name,patch,games_played,wins,bans,winrate,pickrate,banrate,opgg_winrate,opgg_pickrate,opgg_banrate,opgg_tier,top_games,jungle_games,mid_games,adc_games,support_games,updated_at,opgg_updated_at
221,Zeri,15.9,3,2,0,0.6666666666666666,0.004615384615384616,0.0,0.4824,0.052,0.0031,D,0,0,0,3,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
350,Yuumi,15.9,3,2,3,0.6666666666666666,0.004615384615384616,0.004615384615384616,0.4632,0.0187,0.0342,C,0,0,0,0,3,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
427,Ivern,15.9,3,1,0,0.3333333333333333,0.004615384615384616,0.0,0.5346,0.0116,0.0043,S,0,3,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
516,Ornn,15.9,3,2,0,0.6666666666666666,0.004615384615384616,0.0,,,,,3,0,0,0,0,2025-12-10 14:32:18,
875,Sett,15.9,3,3,0,1.0,0.004615384615384616,0.0,,,,,3,0,0,0,0,2025-12-10 14:32:18,
893,Aurora,15.9,3,3,2,1.0,0.004615384615384616,0.003076923076923077,0.4911,0.0296,0.0133,B,1,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
1,Annie,15.9,2,1,2,0.5,0.003076923076923077,0.003076923076923077,0.5188,0.008,0.0014,A,0,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
6,Urgot,15.9,2,2,2,1.0,0.003076923076923077,0.003076923076923077,,,,,2,0,0,0,0,2025-12-10 14:32:18,
11,Master Yi,15.9,2,1,2,0.5,0.003076923076923077,0.003076923076923077,0.4906,0.0318,0.0195,B,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
19,Warwick,15.9,2,2,3,1.0,0.003076923076923077,0.004615384615384616,0.5007,0.0113,0.0059,A,2,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
23,Tryndamere,15.9,2,1,0,0.5,0.003076923076923077,0.0,,,,,2,0,0,0,0,2025-12-10 14:32:18,
24,Jax,15.9,2,0,7,0.0,0.003076923076923077,0.01076923076923077,0.5168,0.0822,0.1828,A,2,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
25,Morgana,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.5137,0.0083,0.0358,A,0,0,1,0,1,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
28,Evelynn,15.9,2,1,2,0.5,0.003076923076923077,0.003076923076923077,0.5075,0.0144,0.0057,A,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
39,Irelia,15.9,2,1,10,0.5,0.003076923076923077,0.015384615384615385,0.5099,0.051,0.1848,A,0,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
45,Veigar,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.5099,0.0122,0.0015,A,0,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
55,Katarina,15.9,2,1,3,0.5,0.003076923076923077,0.004615384615384616,0.5154,0.0489,0.0322,A,0,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
61,Orianna,15.9,2,1,4,0.5,0.003076923076923077,0.006153846153846154,0.4991,0.1566,0.1302,A,0,0,2,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
64,Lee Sin,15.9,2,2,0,1.0,0.003076923076923077,0.0,0.5076,0.2261,0.3064,S,1,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
68,Rumble,15.9,2,0,2,0.0,0.003076923076923077,0.003076923076923077,0.5315,0.0539,0.0294,S,2,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
75,Nasus,15.9,2,2,2,1.0,0.003076923076923077,0.003076923076923077,,,,,2,0,0,0,0,2025-12-10 14:32:18,
77,Udyr,15.9,2,2,0,1.0,0.003076923076923077,0.0,,,,,0,2,0,0,0,2025-12-10 14:32:18,
80,Pantheon,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.4665,0.0158,0.0147,C,1,0,0,0,1,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
82,Mordekaiser,15.9,2,1,0,0.5,0.003076923076923077,0.0,,,,,2,0,0,0,0,2025-12-10 14:32:18,
85,Kennen,15.9,2,0,0,0.0,0.003076923076923077,0.0,,,,,2,0,0,0,0,2025-12-10 14:32:18,
101,Xerath,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.4754,0.0143,0.0178,C,0,0,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
114,Fiora,15.9,2,2,9,1.0,0.003076923076923077,0.013846153846153847,,,,,2,0,0,0,0,2025-12-10 14:32:18,
120,Hecarim,15.9,2,0,12,0.0,0.003076923076923077,0.018461538461538463,0.4992,0.0381,0.011,B,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
131,Diana,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.4797,0.0194,0.0144,C,0,1,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
141,Kayn,15.9,2,1,2,0.5,0.003076923076923077,0.003076923076923077,0.4897,0.0194,0.0027,B,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
147,Seraphine,15.9,2,2,1,1.0,0.003076923076923077,0.0015384615384615385,0.5097,0.0428,0.0034,A,0,0,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
150,Gnar,15.9,2,1,1,0.5,0.003076923076923077,0.0015384615384615385,,,,,2,0,0,0,0,2025-12-10 14:32:18,
161,Vel'Koz,15.9,2,2,0,1.0,0.003076923076923077,0.0,0.5599,0.0054,0.0018,S,0,0,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
203,Kindred,15.9,2,1,18,0.5,0.003076923076923077,0.027692307692307693,0.5084,0.0303,0.0117,A,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
223,Tahm Kench,15.9,2,1,0,0.5,0.003076923076923077,0.0,,,,,1,0,0,0,1,2025-12-10 14:32:18,
240,Kled,15.9,2,2,0,1.0,0.003076923076923077,0.0,,,,,2,0,0,0,0,2025-12-10 14:32:18,
266,Aatrox,15.9,2,1,3,0.5,0.003076923076923077,0.004615384615384616,0.5048,0.1868,0.2517,S,2,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
497,Rakan,15.9,2,0,0,0.0,0.003076923076923077,0.0,0.4965,0.0661,0.008,B,0,0,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
498,Xayah,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.5125,0.0305,0.004,B,0,0,0,2,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
555,Pyke,15.9,2,1,27,0.5,0.003076923076923077,0.04153846153846154,0.5076,0.0787,0.5056,A,0,0,0,0,2,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
711,Vex,15.9,2,1,0,0.5,0.003076923076923077,0.0,0.5331,0.0271,0.0249,S,1,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
876,Lillia,15.9,2,0,4,0.0,0.003076923076923077,0.006153846153846154,0.4923,0.0402,0.0132,B,0,2,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
887,Gwen,15.9,2,1,16,0.5,0.003076923076923077,0.024615384615384615,0.4863,0.009,0.0123,B,1,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
4,Twisted Fate,15.9,1,0,0,0.0,0.0015384615384615385,0.0,0.5286,0.0635,0.0278,S,0,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
15,Sivir,15.9,1,1,0,1.0,0.0015384615384615385,0.0,0.5085,0.0617,0.036,A,0,0,0,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
17,Teemo,15.9,1,1,0,1.0,0.0015384615384615385,0.0,,,,,1,0,0,0,0,2025-12-10 14:32:18,
27,Singed,15.9,1,0,0,0.0,0.0015384615384615385,0.0,0.5331,0.0284,0.0113,S,1,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
31,Cho'Gath,15.9,1,1,0,1.0,0.0015384615384615385,0.0,,,,,0,0,1,0,0,2025-12-10 14:32:18,
32,Amumu,15.9,1,1,2,1.0,0.0015384615384615385,0.003076923076923077,,,,,0,1,0,0,0,2025-12-10 14:32:18,
33,Rammus,15.9,1,1,1,1.0,0.0015384615384615385,0.0015384615384615385,0.5219,0.007,0.0051,A,0,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
37,Sona,15.9,1,0,1,0.0,0.0015384615384615385,0.0015384615384615385,,,,,0,0,0,0,1,2025-12-10 14:32:18,
41,Gangplank,15.9,1,1,0,1.0,0.0015384615384615385,0.0,0.5154,0.0512,0.0401,A,0,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
42,Corki,15.9,1,0,2,0.0,0.0015384615384615385,0.003076923076923077,0.4618,0.0075,0.0013,C,0,0,0,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
48,Trundle,15.9,1,0,0,0.0,0.0015384615384615385,0.0,0.5168,0.0073,0.0016,A,1,0,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
50,Swain,15.9,1,0,1,0.0,0.0015384615384615385,0.0015384615384615385,0.5613,0.0079,0.0038,S,0,0,0,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
62,Wukong,15.9,1,0,0,0.0,0.0015384615384615385,0.0,0.4824,0.0271,0.0043,B,0,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
74,Heimerdinger,15.9,1,1,0,1.0,0.0015384615384615385,0.0,,,,,1,0,0,0,0,2025-12-10 14:32:18,
105,Fizz,15.9,1,0,0,0.0,0.0015384615384615385,0.0,0.5265,0.0231,0.0118,A,0,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
107,Rengar,15.9,1,1,9,1.0,0.0015384615384615385,0.013846153846153847,0.4655,0.0131,0.0107,C,0,1,0,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
119,Draven,15.9,1,0,54,0.0,0.0015384615384615385,0.08307692307692308,0.5148,0.0303,0.1686,B,0,0,0,1,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
127,Lissandra,15.9,1,1,0,1.0,0.0015384615384615385,0.0,0.5034,0.0222,0.0026,A,0,0,1,0,0,2025-12-10 14:32:18,2025-12-10T17:25:09.288731
