Nom,Heure,Fréquence,Action
\ASUS\ArmourySocketServer,00:03,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\TaskSchedulerTool_ArmourySocketServer.exe
\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\TextServicesFramework\MsCtfMonitor,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WwanSvc\OobeDiscovery,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WwanSvc\OobeDiscovery,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WwanSvc\OobeDiscovery,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CertificateServicesClient\UserTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CertificateServicesClient\UserTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\NvNodeLauncher_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},00:03,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files (x86)\NVIDIA Corporation\NvNode\nvnodejslauncher.exe --launcher=TaskScheduler
\Microsoft\Windows\CertificateServicesClient\UserTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\ASUS\AcPowerNotification,00:03,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files (x86)\ASUS\ArmouryDevice\dll\AcPowerNotification\AcPowerNotification.exe
\Microsoft\Windows\Wininet\CacheTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\International\Synchronize Language Settings,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\CertificateServicesClient\UserTask,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WindowsColorSystem\Calibration Loader,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\WindowsColorSystem\Calibration Loader,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\RtkAudUService64_BG,00:03,Les données de planification ne sont pas disponibles dans ce format.,"""C:\Windows\system32\RtkAudUService64.exe"" -background"
\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Windows Defender\Windows Defender Verification,00:03,Les données de planification ne sont pas disponibles dans ce format.,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdVerification
\Microsoft\Windows\Time Synchronization\ForceSynchronizeTime,00:03,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DirectX\DXGIAdapterCache,00:04,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dxgiadaptercache.exe
\Microsoft\Windows\DirectX\DXGIAdapterCache,00:04,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dxgiadaptercache.exe
\Microsoft\Windows\WlanSvc\CDSSync,00:04,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\DirectX\DXGIAdapterCache,00:04,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\dxgiadaptercache.exe
\McAfeeLogon,00:04,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Common Files\McAfee\Platform\McUICnt.exe /platui
\NvBatteryBoostCheckOnLogon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},00:05,Les données de planification ne sont pas disponibles dans ce format.,"C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe -d ""C:\Program Files\NVIDIA Corporation\NvBackend\NvBatteryBoostCheck"" -l 3 -f C:\ProgramData\NVIDIA\NvContainerBatteryBoostCheck.log"
\NvProfileUpdaterOnLogon_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},00:05,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\Update Core\NvProfileUpdater64.exe
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\ReconcileFeatures,00:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization,00:08,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing,00:09,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing,00:09,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\UsageDataFlushing,00:09,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\DSB Notification,00:13,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\ASUS\DSB Notification\DSBNotification.exe -bytask
\OneDrive Startup Task-S-1-5-21-2000315303-141863411-690295039-1001,00:13,Les données de planification ne sont pas disponibles dans ce format.,C:\Users\samue\AppData\Local\Microsoft\OneDrive\26.012.0119.0002\OneDriveLauncher.exe /startInstances
\DSB Notification,00:13,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\ASUS\DSB Notification\DSBNotification.exe -bytask
\Microsoft\Windows\Location\Notifications,00:13,Les données de planification ne sont pas disponibles dans ce format.,%windir%\System32\LocationNotificationWindows.exe
\DSB Notification,00:13,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\ASUS\DSB Notification\DSBNotification.exe -bytask
\DSB Notification,00:13,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\ASUS\DSB Notification\DSBNotification.exe -bytask
\Microsoft\Windows\LanguageComponentsInstaller\Installation,00:18,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Office\Office Feature Updates Logon,00:18,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon
\Microsoft\Office\Office Feature Updates Logon,00:18,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon
\Microsoft\Windows\Flighting\FeatureConfig\UsageDataReceiver,00:19,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\Flighting\FeatureConfig\GovernedFeatureUsageProcessing,00:20,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\NvTmRep_CrashReport3_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},00:25,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe
\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,00:41,Les données de planification ne sont pas disponibles dans ce format.,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdCacheMaintenance
\Microsoft\Windows\Sustainability\SustainabilityTelemetry,00:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\ApplicationData\CleanupTemporaryState,00:41,Les données de planification ne sont pas disponibles dans ce format.,"%windir%\system32\rundll32.exe Windows.Storage.ApplicationData.dll,CleanupTemporaryState"
\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,00:41,Les données de planification ne sont pas disponibles dans ce format.,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdCleanup
\Microsoft\Windows\Diagnosis\Scheduled,00:41,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\Microsoft\Windows\MUI\LPRemove,00:42,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\lpremove.exe
\Microsoft\Office\Office Actions Server,01:00,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck
\Microsoft\Office\Office Actions Server,01:00,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck
\Microsoft\Windows\Windows Error Reporting\QueueReporting,01:05,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\wermgr.exe -upload
\Microsoft\Windows\Windows Error Reporting\QueueReporting,01:08,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\wermgr.exe -upload
\Microsoft\Windows\Windows Error Reporting\QueueReporting,01:12,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\wermgr.exe -upload
\Microsoft\Windows\SystemRestore\SR,01:25,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\srtasks.exe ExecuteScheduledSPPCreation
\Microsoft\Windows\Windows Error Reporting\QueueReporting,01:39,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\wermgr.exe -upload
\Microsoft\Windows\Windows Error Reporting\QueueReporting,01:57,Les données de planification ne sont pas disponibles dans ce format.,%windir%\system32\wermgr.exe -upload
\OneDrive Standalone Update Task-S-1-5-21-2000315303-141863411-690295039-1001,01:59,Les données de planification ne sont pas disponibles dans ce format.,%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe
\Microsoft\Windows\AppListBackup\BackupNonMaintenance,02:06,Les données de planification ne sont pas disponibles dans ce format.,Gestionnaire COM
\OneDrive Reporting Task-S-1-5-21-2000315303-141863411-690295039-1001,02:19,Les données de planification ne sont pas disponibles dans ce format.,%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting
\Microsoft\Office\Office Feature Updates,02:26,Les données de planification ne sont pas disponibles dans ce format.,C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe
\Microsoft\Windows\Hotpatch\Monitoring,03:01,Les données de planification ne sont pas disponibles dans ce format.,%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd
