SummonerName,PUUID,LeagueId,LeaguePoints,Wins,Losses,Rank
,IbYVq_BC9cD0LZiYKGzpDTf_JuFqK4l19cd10dnJd4V58YSRfgKQgPmRmtm_l2Db01t0L0zYkQMtwQ,010cb632-bbd2-41bb-81fa-a023eb4ecf9d,62,69,72,I
,93BxihAyEZzR1v2jghYRqL8JNNSYlM2CEUBwHTKJN_Nrop-mPxyrTwClGgDKCR48ejLJsVrHeduslg,fa1e2a7f-d1aa-4f96-aab5-94aa3009c1bc,75,129,89,I
,DCctab_myjdafnO-Y-QnmnoGvYR1s9F-5yJFg--vwizKx7Rl3U8C9p2txkK09iWPa0siHpyf2bca-w,140cbe18-b8c0-4e58-81f3-37c47430ecd5,6,60,54,I
,bQdExT3-RUdLbICAZUYUr1fXUsIzjuC1hlVlusOzDMDOqtJZSvJUQgCULz_EiNx1OCDausyRxzAVng,4cd35049-9e17-486e-924f-1662bef3d611,75,34,26,I
,fXBLKj17KYhxk_oPbor8P4nVRairWvqwuAXQrxJZSIdUVWNVp6WUJ1TboPtlV5BF6E0kd-mQi1MHSQ,9ed42244-760a-44ea-9095-cb4ffeb76415,33,238,237,I
,5VvpsJ0MgS1LA4q9cdoczgT6BQzgIjWXNQA6N8TYNn7SlKlQFDlGvXVDpTzar_MfXA4OOVXJXsV7sA,82612d14-162b-4975-9ef5-928712ee3446,55,102,102,I
,sEw6qNWlRhxwdOKr8vdlfjdtGzBqiOXiNZ6eaNrk3OZo-wWE-TKrX_O1qgXmwXn7uggiRgg1VS1Weg,2564570a-29ed-4467-98da-b55b078466a2,75,47,27,I
,TrSw0ZYH4CEbvRVf4xJYmDF_wu2PhpD73WePgVKtHkkVnjothfdL0AdyvAw3b4heHzD0i7hasTpevA,f6889d90-b0d8-4a82-9e5e-1f7dcecb9ce5,53,65,30,I
,1sy4ipZpTPwre789JKmBWbADXdfe8iIikeVvQPmYD-r0TL7lJ77N9uof2mjlF9kahSNnlW8rwruDRA,4b3c4185-b0e2-4e81-a057-5b181329dacd,75,80,71,I
,CCKnkSoyDQ89lGqrl963fuwjcY52-L30SccRKai5q1M-KZF1r2uzsYdlsHiODSqMRer_HNFRqpkGWg,ec3f6fbd-7fc8-4369-ab2a-cc8c5338fa13,81,49,25,I
,HxvQ5Pia5p4AczC1lp7_v8K04jNyfHWjFDhrbU5Zi8A0Z5V92MSBL14sjs8ij2-NteCmAxgqOtXbJg,8ecbaf00-7e4f-407b-a901-f563476775a6,11,119,126,I
,LzTf7WbiUTSvXDBUpP6hKBxY3z-7aWZHzmIw2ocxgZpetGBgXChgU4VtBYul8jW2vsyLmWvsgJ31eQ,450c4c7a-2704-427c-890f-02fce80f4553,75,106,89,I
,ES5lXLvEqe54J_Po3e6PVYvIY8roQQRb6thyTuZCGwwM1X92uMP9DCDh0plFrYkpwK2kURDhLXKUeg,5571e88f-3fb3-455c-9d9d-d77bf3302ce3,75,131,110,I
,VhV9x6tNR-TZke43A5de7bUti3NjcRtXRAIjZHVxBZ_i4b5076KUW9wo79DLBR7sZDOcKK_kQ9lhHA,5858785e-1ed8-42ba-8b42-3c3fdcdaa1a5,34,332,344,I
,wCJSiEO9OGRdEAX-WGoihXK0uzQTXFrlq-ZFIjt9aNrFGrosPTpuAUhGQ_Oe3QForVuZiayWqFLMAA,8779ed0c-02ee-4b96-acaf-6c408f8163f0,55,135,124,I
